"X","Project.ID","Deployment.Location.ID","Latitude","Longitude","Camera.Deployment.Begin.Date","Camera.Deployment.End.Date","Time.Zone","Bait.Type","Feature.Type","Quiet.Period.Setting","Camera.Failure.Details","Camera.Make","Height","Angle"
78,"Bighorn","BH75",52.17023644,-116.3645514,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
79,"Bighorn","BH76",52.17457321,-116.304547,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
80,"Bighorn","BH77",52.17218694,-116.1768522,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
81,"Bighorn","BH78",52.18493496,-116.1438517,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
82,"Bighorn","BH79",52.18575499,-115.9811475,"Oct-01-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
83,"Bighorn","BH80",52.17167149,-115.9601341,"Oct-01-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
84,"Bighorn","BH85",52.15165785,-116.5784891,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
85,"Bighorn","BH86",52.1214601,-116.4369184,"Oct-02-2019","8-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
86,"Bighorn","BH87",52.1274746,-116.3693379,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
87,"Bighorn","BH88",52.1536151,-116.265905,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
88,"Bighorn","BH89",52.1044168,-116.2075943,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
89,"Bighorn","BH90",52.13603403,-116.1171451,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
90,"Bighorn","BH91",52.14449008,-115.9569239,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
91,"Bighorn","BH92",52.12922814,-115.8971924,"Oct-02-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
92,"Bighorn","BH93",52.12358186,-115.884784,"Oct-01-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
93,"Bighorn","BH95",52.10750857,-115.7023202,"Oct-04-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
